Company Name,Size,Role,Technology,Requirements,Salary,Link,
developrec,Medium,Associate,Cloud Support,"Linux, Cloud Computing, Containers",,Cloud Support Associate Engineer | Canonical | LinkedIn,
European Tech Recruit,Medium,Software Engineer,"OpenStack, Kubernetes, Linux","Remote, Python, Go, C",,"Software Engineer, Sustaining Engineering | Canonical | LinkedIn",
European Tech Recruit,Large,Senior,"MongoDB, Kafka, Azure","Data Warehousing, Power BI",£60K-£65K + Benefits,https://www.linkedin.com/jobs/view/4055822152/?eBP=NON_CHARGEABLE_CHANNEL&refId=avR7kJmZclskRWgW93iRcQ%3D%3D&trackingId=XhoEP9q0awHjCSyMf0eujA%3D%3D&trk=flagship3_search_srp_jobs,
IC Resources,Large,Senior,"Systems research, database architecture, system-level programming languages","Proficiency in Java, C/C++, Rust, or Go; experience with transactional and analytical database systems, query processing, parallel algorithms, distributed computing, compilers; research-focused role involving collaborations with academic institutions and requires analytical skills",,Principal Engineer | Accenture UK & Ireland | LinkedIn,
IC Resources,Large,Senior,"Systems research, database architecture, system-level programming","Experience in Java, C++, or Go; expertise in transactional/analytical DB management, storage engines, and distributed computing; preferred experience in cloud data management frameworks and academic collaborations",,https://www.linkedin.com/jobs/view/4058439805/?eBP=NON_CHARGEABLE_CHANNEL&refId=wiRcbTuEvl6gmhxMvoM5mw%3D%3D&trackingId=MBozHgkUaTZ1tD2os3NhOw%3D%3D&trk=flagship3_search_srp_jobs,
Leonardo,Large,Senior,Embedded software testing in telecommunications and consumer electronics,"Skills in Python, C, and C++ with lab equipment use (oscilloscopes, signal generators); solid grasp of RTOS and SDLC; responsibilities include implementing test strategies, automation plans, and pre/post-silicon testing",,Senior Embedded Software Test Engineer | IC Resources | LinkedIn,
Leonardo,Large,Senior,Embedded Software,"C++, Python, Real-Time Operating Systems (RTOS)","£65,000-£75,000",https://www.linkedin.com/jobs/view/4058216223/?eBP=NON_CHARGEABLE_CHANNEL&refId=yyx5Ya%2BB5PgB2UykXBD%2FQg%3D%3D&trackingId=rteDTn9%2FkhDepOy4%2BWlZGg%3D%3D&trk=flagship3_search_srp_jobs,
Lloyds Banking Group,Large,Senior,Atlassian,"Experience in project quality assurance, knowledge of AS9100/ISO9001, and quality tools like Root Cause Analysis",,,
Lloyds Banking Group,Large,Embedded Developer,"Embedded software for aerospace, specifically M-Scan and E-Scan radar on Typhoon Fighter Jet; programming in Ada, with Java as beneficial","Experience with Ada, full software development lifecycle, embedded systems, and agile tools (Jira, Confluence, Bitbucket, Gitlab); security clearance needed for UK MOD projects; benefits include up to 15% pension, flexible work, private healthcare, 25 days' holiday plus additional flexi-leave, and training opportunities",,,
N-able,Large,Senior,"React, JavaScript, CSS, HTML, Node.js, APIs, TypeScript, microservices","Experience with front-end development using React, JavaScript, TypeScript; knowledge of microservices, and cloud-based tools (GCP, Azure, AWS); agile experience and strong problem-solving skills","£68,202 - £83,358",,
Nigel Frank International,Large,Senior,"Java, Golang, Spring Boot, APIs, microservices, DevOps","Experience in Java, Golang, Spring Boot, APIs, and microservices; knowledge of DevOps practices (CI/CD, IaC) and public cloud solutions (GCP, Azure)","£68,202 - £83,358",,
Synopsys Inc,Medium,Senior,"Security Engineering, automation, infrastructure management, scripting, cloud (AWS, Azure)","Experience in security technologies (e.g., SIEM, firewalls), cloud (AWS, Azure), and scripting (Python, Bash, PowerShell); relevant certifications like CISSP, CEH, or CCSP preferred",,https://www.linkedin.com/jobs/view/4022994382/?eBP=NON_CHARGEABLE_CHANNEL&refId=wiRcbTuEvl6gmhxMvoM5mw%3D%3D&trackingId=WJfFjtpK%2Fpc1VXUq%2BrFsiA%3D%3D&trk=flagship3_search_srp_jobs,
Synopsys Inc,Large,Developer,"Dynamics 365 CE, Power Platform",".NET, Microsoft Dataverse, Azure DevOps",Competitive Salary + Benefits,https://www.linkedin.com/jobs/view/4053768230/?eBP=NON_CHARGEABLE_CHANNEL&refId=avR7kJmZclskRWgW93iRcQ%3D%3D&trackingId=BVBE76vukBnNtEz0t%2FrLBg%3D%3D&trk=flagship3_search_srp_jobs,
Synopsys Inc,Large,Senior,"Android, Linux, embedded systems, Arm architecture","Strong skills in C/C++, Android build systems, Linux, Python scripting, and experience with system architectures",,,
Synopsys Inc,Large,Senior,"Android, Linux, embedded systems, Arm architecture","Strong skills in C/C++, Android build systems, Linux, Python scripting, and experience with system architectures",,,
Synopsys Inc.,Large,Senior,"Arm CPU architecture, processor modeling, SystemC, virtual platforms","Proficient in C/C++, experience with Arm CPUs, understanding of CPU architecture, familiarity with SystemC, and experience with virtual platforms and embedded systems.",,https://www.linkedin.com/jobs/view/4030926508/?eBP=NON_CHARGEABLE_CHANNEL&refId=wiRcbTuEvl6gmhxMvoM5mw%3D%3D&trackingId=Gxp73Ipj2TmxWD%2BECCxaJQ%3D%3D&trk=flagship3_search_srp_jobs,
Tenth Revolution Group,Large,Software Engineer: Android Build,"Android build systems, pre-silicon virtual platforms, debugging, hardware simulation","C and C++ skills, knowledge of Android and Linux, scripting (Python preferred), familiarity with System Architectures and OS kernel internals, Android AOSP, Arm architecture knowledge beneficial, strong problem-solving and communication abilities; focuses on virtual prototyping for varied electronic platforms",,https://www.linkedin.com/jobs/view/4045816879/?eBP=NON_CHARGEABLE_CHANNEL&refId=SICsa8Dn8AI1NlKrgtIiqw%3D%3D&trackingId=ixuMXFsb5%2FxRUnFtGzwk8Q%3D%3D&trk=flagship3_search_srp_jobs,
Version 1,Large,Senior,"CPU architecture, virtual prototyping, embedded software, system integration","Experience in C/C++, Python, with strong knowledge of CPU instruction sets and system-level IP; familiarity with Arm architecture and SystemC preferred; focus on developing high-performance models for virtual platforms and complex software stacks",,"Software Engineer, Processor Modelling | Synopsys Inc | LinkedIn",
Version 1,Large,Functional Consultant,D365 CE,"CRM Implementation, Customer Service",£70K + Benefits,https://www.linkedin.com/jobs/view/4054550755/?eBP=NON_CHARGEABLE_CHANNEL&refId=avR7kJmZclskRWgW93iRcQ%3D%3D&trackingId=NKjwj%2BEA3mpN98mnJ7%2Fidg%3D%3D&trk=flagship3_search_srp_jobs,
,Large,Power Platform Developer,"Power Platform, M365, Azure DevOps","CI/CD, Power Apps, Dataverse, SharePoint",Competitive Salary + Benefits,https://www.linkedin.com/jobs/view/4017536496/?eBP=NON_CHARGEABLE_CHANNEL&refId=avR7kJmZclskRWgW93iRcQ%3D%3D&trackingId=7kfgFd0LCCJlXqmy3X50%2FQ%3D%3D&trk=flagship3_search_srp_jobs,
 Sparta Global (STARTING AND MID LEVEL),"10,001+ employees",Software Engineer,"Android, Linux, Virtual Platforms, processor models, C, C++, Python, Arm CPUs, Embedded Systems, SystemC","	Good programming skills in C and C++
	•	Knowledge of Android and Linux
	•	Familiarity with scripting languages, preferably Python
	•	Strong communication and problem-solving skills
	•	University degree (minimum BS or MS) in Computer Science, Electronics, or similar
	•	Useful additional experience:
	•	C++ development role experience
	•	System Architectures knowledge, including OS kernel internals
	•	Experience with Linux and Android (AOSP) Build and Debug
	•	Familiarity with Arm architecture
	•	Embedded knowledge and understanding of hardware device specifications
	•	SystemC and transaction-level modeling",,,
Adarma Security(STARTING AND MID LEVEL),,Software Engineer,"Virtual Platforms, Arm CPUs, C, C++, Python, SystemC, Embedded Systems, CPU architectures","	•	Good programming skills, ideally in C and C++
	•	Familiarity with scripting languages, preferably Python
	•	Strong communication and problem-solving skills
	•	A university degree (minimum BS or MS) in Computer Science, Electronics, or a similar field
	•	Useful additional experience:
	•	Experience in a C++ software development role
	•	Understanding of CPU architectures, with familiarity in one or more CPU instruction sets
	•	Experience with Arm CPUs or knowledge of Arm architecture
	•	Embedded knowledge and ability to interpret hardware device specifications
	•	Knowledge of System Architectures including OS kernel internals
	•	Familiarity with SystemC and transaction-level modeling",,https://www.linkedin.com/jobs/view/4027569317/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=bUkvAFbJ9ndQFwgb44iJuA%3D%3D&trk=flagship3_search_srp_jobs,
Adobe(STARTING AND MID LEVEL),,Software Development Engineer Intern,"Distributed systems, AWS, large-scale storage, indexing, and query systems, Java, C/C++, Python","	•	Requirements:
	•	Currently enrolled in a Bachelor’s or Master’s Degree in Computer Science, Computer Engineering, or related field
	•	Familiarity with programming languages such as Java, C/C++, or Python
	•	Knowledge of computer science fundamentals like object-oriented design, algorithm design, data structures, problem-solving, and complexity analysis
	•	Preferred:
	•	Previous technical internship experience
	•	Experience with distributed, multi-tiered systems, algorithms, and relational databases
	•	Knowledge of optimization mathematics, including linear and nonlinear optimization
	•	Ability to effectively articulate technical challenges and solutions
	•	Adaptability to ambiguous or undefined problems and abstract thinking",,https://www.linkedin.com/jobs/view/4030926508/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=CLpJ8mtNgvT%2B1JoTAe88Tw%3D%3D&trk=flagship3_search_srp_jobs,
Amazon(STARTING AND MID LEVEL),"1,001-5,000 employees", Cloud Support Associate Engineer,"Ubuntu, Linux, Cloud Computing, Virtualization, Containers, Networking, Storage Technologies, Bash, Perl, Ruby, Javascript, C, C++, Go",,,https://www.linkedin.com/jobs/view/4024703560/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=VCYb03pPZoO4W6QYnFkETw%3D%3D&trk=flagship3_search_srp_jobs,
Amazon(STARTING AND MID LEVEL),"1,001-5,000 employees", Graduate/Associate Software Engineer,"Launchpad (Python, Zope, Flask), Ubuntu, Linux, Web Services, Database Management, ORMs (PostgreSQL), Software Packaging Systems (Debian/Ubuntu)","
	•	Bachelor’s degree or equivalent in Computer Science, STEM, or similar field
	•	Proficiency in Python with experience delivering robust code to production
	•	Experience with large, mature web applications
	•	Knowledge of databases and ORMs (PostgreSQL is a plus), data management, and data modeling
	•	Interest or experience in integration, infrastructure, and operations
	•	Understanding of security best practices in software development
	•	Familiarity with Ubuntu as a development and deployment platform
	•	Understanding of various software packaging systems, especially Debian/Ubuntu packages",,,
Canonical(STARTING AND MID LEVEL)," 501-1,000 employees",Backend NodeJS Developer,"Node.js, JavaScript, asynchronous programming, RESTful APIs, React.js, Git, Mocha or Jest (for unit testing)","
	•	Solid experience with Node.js and JavaScript
	•	Strong understanding of asynchronous programming and event-driven architecture
	•	Experience with RESTful APIs and API integrations
	•	Familiarity with front-end technologies, particularly React.js
	•	Knowledge of version control (Git)
	•	Familiarity with unit testing frameworks like Mocha or Jest
	•	Ability to work asynchronously in a distributed team environment
	•	Strong problem-solving skills and a passion for continuous learning",,https://www.linkedin.com/jobs/view/4053882742/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=Z2t5wgJ5flV1k4BlbbrHMg%3D%3D&trk=flagship3_search_srp_jobs,
Canonical(STARTING AND MID LEVEL),,Engineering Intern,Java or equivalent strongly-typed programming language,"	Pursuing a BSc, MSc, or PhD in Computer Science or related field, graduating in 2027
	•	Strong programming skills, especially in Java or similar languages
	•	Analytical mindset and data-driven decision-making skills
	•	Interest in developer methodologies within large organizations
	•	Strong communication and collaboration skills",,https://www.linkedin.com/jobs/view/4017451162/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=gTUa0rYCcEP9j8oeDZ%2FxCQ%3D%3D&trk=flagship3_search_srp_jobs,
Canonical(STARTING AND MID LEVEL),51-200 employees,C++ Developer,"C++, Boost, Python (build scripts), Visual C++, Xcode, custom libraries, IDA disassembler, OpenCV, Leptonica Image Processing Library","•	Strong proficiency in C++ with a focus on elegant programming and algorithm development
	•	Knowledge of complex data structures, preferably with experience in reverse engineering
	•	Experience with Visual C++ and Xcode compilers, as well as familiarity with Boost
	•	Background in Computer Science, Physics, Mathematics, or related fields, or equivalent experience
	•	Ability to work independently on feature implementation, bug fixing, and customer feedback
	•	Effective English communication skills; German is not required but lessons are offered",,https://www.linkedin.com/jobs/view/4051652149/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=%2BbZDhanE66SZUUsnWQMl%2Fw%3D%3D&trk=flagship3_search_srp_jobs,
Canonical(STARTING AND MID LEVEL)," 1,001-5,000 employees",Data / Software Engineer,"Python, Java, C#, Splunk Certification (provided), Data Visualization, Cloud Services, Big Data","•	Minimum of 6 months of commercial or internship experience
	•	Proficiency in a programming language (Python, Java, C#, or similar)
	•	Ability to work with structured and unstructured data, focusing on data pipeline design, maintenance, and troubleshooting
	•	Strong problem-solving and collaboration skills
	•	Flexibility and willingness to relocate post-training as deployment locations vary
	•	Eligibility to work in the UK by the start of employment",,https://www.linkedin.com/jobs/view/4050275827/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=08th3NAXuUBlL%2BkYW2lFIA%3D%3D&trk=flagship3_search_srp_jobs,
KO2(STARTING AND MID LEVEL), 201-500 employees,Security Engineer (entry-level),"Cybersecurity, Security Engineering, SOC, Security Controls","•	Entry-level professional in cybersecurity or IT security
	•	Alternatively, experience as a Senior SOC Analyst looking to transition into Security Engineering
	•	Ability to work collaboratively, engage with clients, and provide technical solutions and expertise
	•	Knowledge of current security threats, security controls, and mitigation techniques",,https://www.linkedin.com/jobs/view/4049509873/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=0%2BvMgNTTKu2vhmM4hqnl6Q%3D%3D&trk=flagship3_search_srp_jobs Sparta Global,
KO2 Recruitment(STARTING AND MID LEVEL),"1,001-5,000 employees",Software-Defined Networking Engineer (open to various seniority levels),"Linux, Open vSwitch (OVS), OVN, eBPF, DENT, SoNIC, FRR, SDN, 5G Core, Kubernetes, Ubuntu, LXD, MAAS, MicroK8s, Golang, C/C++, Rust, Python","•	Degree in Computer Science, STEM, or equivalent experience
	•	Strong knowledge of Linux networking (from kernel to user space)
	•	Proficiency in one or more languages: Golang, C/C++, Rust, Python
	•	Familiarity with networking architectures, protocols, and open-source networking projects
	•	Experience with Ubuntu or Debian preferred
	•	Strong written and verbal communication skills
	•	Ability to travel twice a year for company events",,Security Engineer | Adarma Security | LinkedIn,
Managed-AIS(STARTING AND MID LEVEL),,Software Engineer," C, C++, Go, Python, Shell scripting, Linux desktop environments, containerization technologies (kernel namespaces, cgroups, AppArmor, seccomp), XDG portals, systemd, GRUB, Dart/Flutter","	•	Strong academic background, preferably in a technical subject
	•	Understanding of software development methodologies and life cycles
	•	Experience with Linux desktop and containerization technologies
	•	Skills in C/C++, Go, Python, and Shell scripting
	•	Good communication skills for internal and external interactions
	•	Ability to travel twice a year for company events",,Software-Defined Networking Engineer | Canonical | LinkedIn,
think-cell Software(STARTING AND MID LEVEL),,Software Development Engineer,"Java, C++, or C#","•	Experience in the architecture and design of new and existing systems (architecture, design patterns, reliability, and scaling)
	•	Professional, non-internship software development experience
	•	Proficiency in one modern programming language, such as Java, C++, or C#, including object-oriented design",,https://www.linkedin.com/jobs/view/4049450626/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=vHzzdVblGmq6xtsRB40RjA%3D%3D&trk=flagship3_search_srp_jobs,
UserTesting(STARTING AND MID LEVEL),,Graduate Software Developer,,"Degree in Computer Science, Software Engineering, or related field.
	•	A-level or equivalent qualification in Mathematics.
	•	Coding proficiency, with skills in Java, JavaScript, or C++.
	•	Strong problem-solving skills, attention to detail, and good teamwork abilities.
	•	Additional experience with aviation, databases, XML, XSLT, AI, and structured documentation is advantageous.",,https://www.linkedin.com/jobs/view/4045388258/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=W1W1fde6lYluIGW6NMpN1A%3D%3D&trk=flagship3_search_srp_jobs,
(STARTING AND MID LEVEL),2-10 employees,C++ Linux Software Engineer,"C++, Linux, Docker, IoT, Modern C++ (C++14 onwards)","	Proficiency in Modern C++ (C++14 onwards)
	•	Experience with Linux and Docker
	•	Test-driven development, continuous integration
	•	Desirable: Wireless communication device experience, Python, embedded software experience",,https://www.linkedin.com/jobs/view/4048381535/?eBP=NON_CHARGEABLE_CHANNEL&refId=M%2FaRPWzioIZE6NJS8N2poA%3D%3D&trackingId=D%2FKqgWT89ql6b6SLpw3veA%3D%3D&trk=flagship3_search_srp_jobs,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
